symbol,gene_id,treatment_splicing_P,time_splicing_P,treatment_over_time_splicing_P,flag_treatment_splicing_P05,flag_time_splicing_P05,flag_trt_over_time_splicing_P05
Dsim\GD10597,FBgn0182365,0.42991295689801,0.87577746907131,0.01692326829785,0,0,1
Dsim\GD10598,FBgn0182366,0.99146395942697,0.99970657964636,0.99970657964636,0,0,0
Dsim\GD10604,FBgn0182372,,,,0,0,0
Dsim\GD10605,FBgn0182373,0.44009174865008,0.69948580839632,0.44722413184559,0,0,0
Dsim\GD10606,FBgn0182374,0.82520202363026,0.48778247743586,0.16177448482399,0,0,0
Dsim\GD10607,FBgn0182375,0.61324704612724,0.83267130558581,0.00004560195859,0,0,1
Dsim\GD10608,FBgn0182376,0.23953767378366,0.89741858530676,0.85528968992959,0,0,0
Dsim\GD10610,FBgn0182378,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD10611,FBgn0182379,0.06021326741348,0.41207672023267,0.39115548373113,0,0,0
Dsim\GD10613,FBgn0182380,0.85373548059553,0.63784508228742,0.77607873490436,0,0,0
Dsim\GD10615,FBgn0182382,0.3418439311499,0.73824110772268,0.32058706166549,0,0,0
Dsim\GD10616,FBgn0182383,,,,0,0,0
Dsim\GD10619,FBgn0182386,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD10620,FBgn0182387,0.97530541552595,0.0708796012862,0.00942879558799,0,0,1
Dsim\GD10624,FBgn0182391,0.12666304148606,0.0192081649382,0.33461798899889,0,1,0
Dsim\GD10625,FBgn0182392,0.00610068552914,0.28707621815407,0.62995253371832,1,0,0
Dsim\GD10627,FBgn0182394,0.20931332087509,0.09421673785891,0.0641788915274,0,0,0
Dsim\GD10628,FBgn0182395,0.04369704338017,0.27055285822167,0.52191576435154,1,0,0
Dsim\GD10630,FBgn0182397,,,,0,0,0
Dsim\GD10631,FBgn0182398,0.27969840846671,0.18273261187883,0.36144842936554,0,0,0
Dsim\GD10632,FBgn0182399,0.53263373968635,0.12325814755445,0.64850968137146,0,0,0
Dsim\GD10633,FBgn0182400,0.81664858117387,0.06070614492778,0.18614181324999,0,0,0
Dsim\GD10634,FBgn0182401,0.02125464148559,0.15414508429091,0.49492967733528,1,0,0
Dsim\GD10637,FBgn0182404,,,,0,0,0
Dsim\GD10638,FBgn0182405,0.7182086202141,0.17179232105266,0.79689308557746,0,0,0
Dsim\GD10640,FBgn0182407,0.75124431464714,0.37763254577,0.19958983863807,0,0,0
Dsim\GD10641,FBgn0182408,,,,0,0,0
Dsim\GD10644,FBgn0182411,0.90851021186895,0.62147165792959,0.97811824254153,0,0,0
Dsim\GD10646,FBgn0182413,0.52084664287969,0.41229603221992,0.01428680457029,0,0,1
Dsim\GD10648,FBgn0182415,0.76618167920651,0.58780383142872,0.74829299847589,0,0,0
Dsim\GD10649,FBgn0182416,0.48128888723622,0.30729857042045,0.50420438277135,0,0,0
Dsim\GD10650,FBgn0182417,,,,0,0,0
Dsim\GD10653,FBgn0182420,0.50700175739302,0.56784430075592,0.95336013900894,0,0,0
Dsim\GD10654,FBgn0182421,0.010810245975,0.48960419518081,0.27813226046721,1,0,0
Dsim\GD10655,FBgn0182422,0.80098736525853,0.47511186979628,0.90157378482785,0,0,0
Dsim\GD10657,FBgn0182424,,,,0,0,0
Dsim\GD10658,FBgn0182425,0.41175747886447,0.93527514685141,0.2509789813187,0,0,0
Dsim\GD10659,FBgn0182426,0.59439931177118,0.41481876383703,0.08544909391831,0,0,0
Dsim\GD10661,FBgn0182428,0.75010032659363,0.99999252101237,0.56328985194329,0,0,0
Dsim\GD10662,FBgn0182429,,,,0,0,0
Dsim\GD10663,FBgn0182430,0.95686800920359,0.9765638636725,0.85947121337387,0,0,0
Dsim\GD10664,FBgn0182431,0.99155038328962,0.51972921213001,0.24912837799607,0,0,0
Dsim\GD10665,FBgn0182432,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD10666,FBgn0182433,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD10667,FBgn0182434,0.00514173173974,0.91449201073379,0.29042289242059,1,0,0
Dsim\GD10668,FBgn0182435,0.25583832647497,0.13361145097825,0.04883235749862,0,0,1
Dsim\GD10669,FBgn0182436,,,,0,0,0
Dsim\GD10670,FBgn0182437,0.0923602478314,0.94163366890775,0.56688268849225,0,0,0
Dsim\GD10671,FBgn0182438,,,,0,0,0
Dsim\GD10672,FBgn0182439,0.00140722916877,0.83448147945726,0.18746493138005,1,0,0
Dsim\GD10673,FBgn0182440,0.64099184923827,0.21332289565113,0.61345485814008,0,0,0
Dsim\GD10675,FBgn0182442,0.99656321409937,0.29372147977604,0.74150973110938,0,0,0
Dsim\GD10676,FBgn0182443,0.05102236108904,0.44182226234318,0.21353495660472,0,0,0
Dsim\GD10678,FBgn0182445,0.07593704957297,0.65375013235405,3.318940773618E-6,0,0,1
Dsim\GD10680,FBgn0182447,0.94635437584106,0.9999999982496,0.99999819456489,0,0,0
Dsim\GD10682,FBgn0182449,0.62182123279906,0.07749433135298,0.18144466186284,0,0,0
Dsim\GD10687,FBgn0182452,,,,0,0,0
Dsim\GD10688,FBgn0182453,0.99402918555221,0.00830507311472,0.86192628301288,0,1,0
Dsim\GD10689,FBgn0182454,0.56194396176884,0.15185050140772,0.51270595424984,0,0,0
